id,total_receipts,total_error,paid_receipts,paid_error,unpaid_receipts,unpaid_error
135,357956,13.6,180876,11.4,177080,24.4
136,4287736,8.2,1640409,17.8,2647326,5.8
137,1129646,11.9,378316,17.3,751330,13.6
138,439632,9.0,232125,6.6,207507,16.0
139,460170,12.3,138752,46.8,321418,17.1
140,229844,34.2,S,S,222405,32.6
141,2803291,13.4,1962116,21.0,841174,10.1
142,1264381,17.5,533743,44.9,730638,8.1
143,2377145,6.4,953436,15.2,1423709,10.9
144,646209,11.5,153230,29.0,492979,10.3
145,4446545,42.1,S,S,1791432,8.1
146,92932,45.5,S,S,72340,47.8
147,601943,37.7,S,S,298684,14.4
148,2029213,17.3,1610845,23.0,418368,15.0
149,172134,40.9,48012,36.3,124122,48.5
150,1932294,7.9,790237,12.2,1142057,8.5
151,477812,16.6,151706,33.1,326106,23.1
152,1061426,9.4,529021,15.1,532405,14.5
153,393057,22.0,109511,48.4,283546,17.1
154,1033969,7.5,181500,24.6,852469,9.2
155,327647,16.9,S,S,256225,18.1
156,481231,16.7,73161,23.5,408070,19.8
157,225091,16.8,36917,18.6,188174,18.6
158,1150736,14.5,419723,34.0,731012,17.2
159,191777,34.9,26929,48.3,164848,37.7
160,755378,16.3,364403,38.0,390975,20.6
161,203581,24.2,S,S,175190,29.4
162,196078,12.9,68921,28.3,127158,13.4
163,69404,21.0,20681,31.1,48723,24.7
164,103408,17.9,S,S,66272,17.9
165,23266,44.1,S,S,12163,46.4
166,130687,13.5,39378,24.7,91309,14.5
167,49864,31.3,13363,48.7,36501,35.4
168,62344,15.1,14912,29.7,47432,20.2
169,S,S,S,S,S,S
170,37863,32.5,9156,21.0,28707,41.3
171,24936,48.3,6718,10.6,S,S
172,12884,36.4,S,S,10446,41.9
173,S,S,S,S,S,S
174,S,S,S,S,S,S
175,S,S,S,S,S,S
176,S,S,S,S,S,S
177,S,S,S,S,S,S
178,24781,21.2,S,S,20262,19.9
179,6955,13.7,S,S,6875,13.3
180,13712,30.3,S,S,9273,16.7
181,S,S,S,S,S,S
182,2227195,5.5,734700,11.0,1492495,5.1
183,491722,7.1,129216,25.0,362506,6.0
184,1459933,6.2,519721,12.4,940213,6.8
185,275539,20.3,85763,25.5,189776,20.4
186,38408537,2.4,15269369,4.0,23139168,2.1
187,9992458,4.8,3417992,11.1,6574466,2.6
188,21594052,3.5,9851805,4.5,11742247,3.4
189,6822028,7.4,1999573,19.3,4822455,3.9
190,48879066,2.4,43423829,2.7,5455237,2.4
191,4233746,9.9,3495747,12.7,737999,12.5
192,34602908,2.2,31848580,2.4,2754329,4.2
193,7005062,6.3,6326372,7.1,678690,5.5
194,25087748,2.0,23312275,2.3,1775473,6.9
195,2510098,15.0,2209932,17.3,300165,19.3
196,7962967,2.9,5287509,4.1,2675458,3.4
197,24547942,5.3,19596184,6.1,4951757,5.3
198,1014272,8.8,700599,11.1,313673,14.7
199,27816766,3.6,21340076,4.9,6476690,3.6
200,791313,14.7,596877,19.0,194436,13.3
201,274380,15.8,169262,27.0,105118,9.9
202,15497252,5.1,12618043,6.9,2879209,8.3
203,3814393,8.6,2823276,14.1,991117,10.5
204,10830085,7.9,9176344,9.4,1653741,11.0
205,852774,12.3,618423,20.1,234351,31.7
206,570654,14.4,461781,17.1,108873,22.1
207,27244,40.1,4535,34.6,22709,46.2
208,5346362,9.9,3979937,12.9,1366426,8.1
209,12758150,6.2,9461054,7.5,3297096,5.3
210,3018577,6.3,1939969,10.3,1078608,5.9
211,9413473,8.2,7283483,9.5,2129991,9.0
212,326100,16.7,237603,21.5,88498,19.4
213,3719458,19.0,3044792,24.9,674666,6.9
214,2425078,8.4,1662285,13.2,762793,4.5
215,757036,5.8,449618,12.3,307418,8.1
216,1483115,13.1,1074384,19.6,408731,6.3
217,184927,12.6,138282,16.5,46645,35.0
218,4407513,5.0,3540374,6.0,867139,7.0
219,960086,9.2,633907,11.6,326179,11.7
220,862752,15.2,625512,23.2,237239,8.3
221,2749537,26.0,2319246,32.6,430292,9.9
222,107169,16.5,100034,16.2,S,S
223,6171827,6.4,5163403,7.1,1008424,14.7
224,916433,8.0,624218,9.6,292215,9.6
225,5117134,6.9,4442088,7.5,675046,22.4
226,138260,37.1,S,S,41163,34.9
227,3335108,6.1,2807573,6.7,527535,12.5
228,112318,38.6,98894,46.1,13425,41.5
229,5064991,4.7,4271181,5.7,793810,5.5
230,1158987,12.2,847568,16.1,311419,13.3
231,3702006,5.8,3246155,6.6,455850,7.1
232,203998,34.1,177458,41.7,26540,33.9
233,10464068,3.9,7577847,5.6,2886222,5.2
234,3089133,3.8,2030235,6.3,1058898,8.7
235,7070127,4.4,5361836,6.5,1708291,5.7
236,304809,13.2,185775,20.3,119033,24.3
237,2140317,11.2,1594998,15.1,545319,6.5
238,590359,17.7,393479,28.8,196880,11.9
239,1479848,16.0,1156238,21.4,323611,5.6
240,70109,33.8,S,S,24829,33.4
241,4321454,4.6,3674194,6.6,647261,10.1
242,165328,27.7,149610,32.6,15718,46.9
243,1839014,10.3,1706064,11.0,132950,34.8
244,2317112,4.9,1818519,7.2,498593,11.9
245,1723941607,0.3,1584614019,0.4,139327587,2.6
246,138669937,0.8,102552393,1.0,36117544,1.0
247,3211640,5.3,2618342,6.6,593298,6.0
248,574204,16.8,402729,19.9,171474,11.4
249,2512853,5.0,2103048,6.3,409805,9.6
250,124584,39.8,112565,47.1,12019,34.5
