id,total_receipts,total_error,paid_receipts,paid_error,unpaid_receipts,unpaid_error
608,334585,15.4,240396,23.0,94189,7.2
609,260982,5.3,195205,5.7,65777,14.8
610,164101,27.6,145574,32.5,18527,25.4
611,1582027,2.5,940027,4.0,642000,2.4
612,741052,4.1,306977,11.3,434076,2.9
613,730081,4.5,541728,6.0,188352,3.8
614,110893,24.3,91322,30.2,19572,21.2
615,1174502,6.8,912956,9.5,261546,5.1
616,1404857,14.8,1171230,18.4,233627,12.4
617,467672,15.3,423371,15.0,44301,33.6
618,883996,22.9,778403,26.6,105593,9.9
619,342920,11.2,305633,11.6,37287,24.3
620,457153,45.7,S,S,61534,19.1
621,83923,27.0,77152,31.4,6771,41.1
622,272223014,0.2,264119679,0.2,8103335,1.2
623,14167679,2.2,10127808,3.5,4039871,1.9
624,29423076,1.4,26185713,1.6,3237363,1.9
625,6574764,2.2,5926928,2.7,647837,7.0
626,50165519,0.7,42240448,0.8,7925071,1.3
627,222057494,0.2,221879230,0.2,178264,4.8
628,534537983,0.9,490287593,0.9,44250390,1.5
629,98883519,2.2,78952309,3.0,19931210,1.1
630,386385150,1.2,364751538,1.2,21633612,3.1
631,49269314,3.0,46583746,3.4,2685567,6.7
632,24244269,4.6,16903556,5.4,7340713,4.4
633,13274945,6.6,7193590,10.5,6081355,5.4
634,9054119,3.6,7899777,4.4,1154343,4.6
635,1915204,5.8,1810190,6.7,105015,14.3
636,2199852,8.5,1712374,10.9,487477,2.3
637,986585,12.3,653790,19.1,332795,3.1
638,1117228,12.4,966218,14.0,151009,12.5
639,96039,28.0,92366,29.7,3673,14.0
640,60878821,3.3,54631372,3.5,6247448,3.8
641,16526952,7.0,13807103,7.6,2719849,6.8
642,39207790,3.8,36078112,4.1,3129679,3.8
643,5144078,6.4,4746158,7.9,397920,14.6
644,21141399,4.8,19274500,5.2,1866899,12.2
645,4645803,14.2,3930965,12.6,714839,28.5
646,14644338,6.3,13647072,7.1,997266,5.4
647,1851257,7.5,1696463,8.7,154795,16.5
648,10607525,8.0,9277856,9.2,1329669,7.8
649,2712096,9.6,2140569,13.1,571527,7.1
650,7240078,12.4,6560223,14.0,679854,14.0
651,655352,17.8,577064,22.3,78288,30.1
652,S,S,S,S,S,S
653,5385145,13.9,4893407,16.5,491738,10.2
654,1934034,30.3,1738899,35.3,195135,15.3
655,3229093,8.4,2945804,10.3,283289,17.7
656,222019,24.3,208704,28.8,13315,37.2
657,6163428,11.2,5600808,12.0,562621,10.2
658,1061726,13.2,829515,16.9,232211,23.2
659,4860024,13.9,4547330,15.2,312694,9.0
660,241678,16.7,223963,16.4,17716,45.7
661,456989,25.1,318684,38.3,138305,10.9
662,162861,12.4,59377,22.9,103484,15.7
663,9489899,9.5,8128357,10.6,1361543,7.4
664,4176473,6.9,3395179,7.5,781294,10.3
665,3810530,14.8,3328235,17.0,482294,7.7
666,1502896,17.0,1404942,19.4,97954,22.4
667,3224643,15.3,2901955,17.8,322689,20.5
668,549742,26.8,438593,36.3,111149,20.7
669,2617005,18.6,2405466,20.9,211540,30.3
670,1945238795,0.3,1882353622,0.4,62885174,1.2
671,3804338,13.2,3438172,15.2,366166,13.5
672,1495626,28.8,1326681,34.0,168945,14.7
673,2089954,20.7,1901360,22.6,188594,16.3
674,218758,24.0,210132,26.9,S,S
675,131360576,2.1,101369868,2.9,29990708,1.0
676,443682884,1.0,417249182,1.1,26433702,2.8
677,60113014,2.5,56646991,2.9,3466023,5.6
678,635156474,0.8,575266041,0.9,59890433,1.3
679,1310082321,0.3,1307087581,0.3,2994741,4.3
680,6874917,3.6,5109775,5.2,1765142,2.2
681,2657413,3.8,1672559,6.8,984855,1.9
682,3505537,6.8,2825276,9.1,680261,4.5
683,711967,10.8,611940,11.3,100027,21.2
684,807192,5.3,716567,5.5,90625,15.3
685,111054,7.2,109577,7.8,1478,37.3
686,187818,11.2,176471,12.0,11347,45.5
687,508320,7.9,430519,9.2,77801,14.8
688,42483410,0.7,36414107,0.9,6069304,1.7
689,11399211,2.6,8345672,4.0,3053539,2.3
690,25729722,1.5,23183966,1.6,2545756,2.3
691,5354477,2.6,4884469,3.2,470009,8.3
692,50165519,0.7,42240448,0.8,7925071,1.3
693,222057494,0.2,221879230,0.2,178264,4.8
694,1963661,4.7,1423260,6.6,540401,3.4
695,687879,3.3,404213,6.4,283666,3.5
696,1189640,7.1,957461,9.5,232179,5.4
697,86141,15.0,61586,18.0,24556,24.2
698,1674178,4.4,1273244,5.7,400934,4.4
699,52737,19.0,18112,46.2,34626,21.1
700,26440,19.9,9752,23.3,16688,29.6
701,22666,41.9,S,S,8839,31.2
702,2215,8.2,S,S,982,14.6
703,258765,10.3,146097,18.6,112668,5.7
704,655531,14.4,435712,20.9,219819,6.9
705,256820,12.0,147562,21.0,109258,4.9
706,370834,22.7,271942,32.0,98892,12.4
707,27877,30.3,16209,34.8,11668,45.8
708,200046,6.4,136210,9.0,63835,9.0
709,62520,14.6,26273,30.2,36248,13.9
710,135166,9.3,108935,12.0,26231,13.9
711,2359,44.2,S,S,1356,49.1
712,309588,6.3,256575,6.6,53012,14.9
713,144576,10.9,115211,12.2,29365,16.1
714,156524,4.9,136187,4.9,20338,19.5
715,8487,41.0,S,S,S,S
716,785892,5.1,583586,7.1,202306,6.1
717,223963,9.3,115168,19.4,108795,5.4
718,523186,5.2,436468,6.2,86718,11.3
719,38743,15.9,31950,12.5,S,S
720,344709,12.3,298174,10.6,46535,40.0
721,256686,11.0,205671,15.4,51015,12.3
722,93518,30.3,64940,47.8,28578,15.6
723,51679,22.7,30103,37.5,21576,20.6
724,111489,8.9,110628,9.4,861,25.9
725,346193,6.3,281940,8.1,64253,12.8
726,131599,12.2,89498,16.5,42101,15.7
727,207732,9.1,186643,10.6,21089,13.2
728,S,S,S,S,S,S
729,21376,23.5,20779,25.1,S,S
730,55557,24.1,53055,27.0,S,S
731,267777,14.0,224340,11.4,43437,41.6
732,259377,11.6,223376,11.5,36001,48.8
733,S,S,S,S,S,S
734,0,0.0,0,0.0,0,0.0
735,778,20.7,S,S,S,S
736,577647,9.1,478637,8.8,99010,22.7
737,199372,11.7,161729,13.8,37643,12.5
738,334484,13.1,288666,15.2,45817,27.9
739,S,S,S,S,S,S
740,0,0.0,0,0.0,0,0.0
741,0,0.0,0,0.0,0,0.0
742,47857150,0.7,40519014,0.8,7338136,1.3
743,13458424,2.3,9702816,3.6,3755608,1.9
744,28177879,1.4,25175196,1.6,3002683,1.8
745,6220846,2.3,5641002,2.9,579845,6.5
746,42865351,0.8,36698685,0.9,6166666,1.7
747,91242,32.3,75474,40.9,15767,11.7
748,S,S,S,S,S,S
749,26538,13.1,19894,18.9,6645,10.6
750,S,S,S,S,S,S
751,114674,12.6,85438,16.6,29236,11.3
752,33192,13.7,17631,24.1,15561,14.9
753,77028,16.6,63535,20.1,13493,16.0
754,1529041,2.4,921915,4.0,607125,2.0
755,237886,8.9,186118,10.8,51768,9.8
756,3023588,7.2,2493573,9.1,530015,6.3
757,36156,36.3,S,S,13564,14.8
758,98278,27.3,64105,45.2,34173,22.0
759,50165519,0.7,42240448,0.8,7925071,1.3
760,222057494,0.2,221879230,0.2,178264,4.8
761,4455,11.9,4272,12.9,S,S
762,38371,34.1,S,S,14546,13.7
763,S,S,S,S,S,S
764,14198,16.0,6256,30.0,7941,21.6
765,S,S,S,S,S,S
766,19499,16.6,10506,28.4,8992,15.3
767,9701,28.6,5961,46.5,3740,7.9
768,9739,23.4,4546,39.0,5193,26.7
769,58,33.2,0,0.0,58,31.7
770,2451,28.5,S,S,1302,27.2
771,1482,26.7,637,45.6,846,41.6
772,S,S,S,S,S,S
773,0,0.0,0,0.0,0,0.0
774,S,S,S,S,S,S
775,S,S,S,S,S,S
776,S,S,S,S,S,S
777,0,0.0,0,0.0,0,0.0
778,4817,28.2,1360,35.3,3457,35.2
779,1385,7.9,S,S,1130,9.3
780,3431,37.8,1105,43.2,S,S
781,0,0.0,0,0.0,0,0.0
782,357043,8.1,210202,14.7,146841,8.2
783,144394,19.6,67773,39.2,76622,6.1
784,204542,13.9,135347,20.7,69194,19.8
785,S,S,S,S,S,S
786,28936775,6.7,23210405,8.6,5726370,2.0
787,10469328,8.8,6456284,14.4,4013044,1.6
788,16623994,6.5,15062354,7.6,1561639,4.7
789,1843453,17.2,1691767,18.2,151686,17.9
790,23121765,9.4,19291619,11.7,3830146,3.0
791,909099,11.3,642356,15.2,266743,5.7
792,221203,27.4,138515,45.5,82688,8.6
793,692263,29.1,614627,33.8,77636,19.3
794,22161,9.6,6082,29.6,16079,7.5
795,4771714,7.8,3023644,13.3,1748070,2.1
796,10296988,4.0,7929235,5.4,2367753,3.0
797,3885218,7.2,2157375,13.5,1727843,2.5
798,5796091,6.1,5194940,6.9,601151,6.9
799,615679,20.4,576920,23.4,38759,29.3
800,2791014,8.8,2099351,13.5,691662,6.2
801,1221474,11.8,686271,22.4,535203,7.0
802,1441124,12.7,1291142,15.3,149981,14.0
803,128416,18.1,121938,20.4,S,S
804,4697377,6.5,4040955,7.8,656422,8.8
805,1339672,16.4,979490,21.8,360182,6.4
806,3006814,11.0,2750068,12.1,256745,18.0
807,350891,49.4,S,S,S,S
808,9732986,7.8,7751747,10.5,1981239,2.9
809,3985509,12.9,2603701,21.3,1381807,3.6
810,5228440,9.7,4681927,11.1,546513,8.6
811,519037,27.4,466119,30.5,52918,35.3
812,4642667,8.1,4356154,9.5,286513,27.2
813,215090,37.3,191664,36.8,S,S
814,1804556,17.7,1763829,18.2,40727,43.1
815,2623021,9.7,2400660,11.6,222360,31.5
816,3396399,9.3,3170831,10.8,225568,28.4
817,9231,49.9,S,S,4589,48.8
818,S,S,S,S,S,S
819,S,S,S,S,S,S
820,S,S,S,S,S,S
821,S,S,S,S,S,S
822,601577032,0.8,547699482,0.8,53877550,1.3
823,120676158,2.3,94721920,2.9,25954238,1.0
824,425254334,1.0,400422998,1.0,24831336,2.8
825,55646540,2.5,52554564,2.8,3091976,5.4
826,508019819,0.8,467825144,0.8,40194675,1.6
827,23325939,4.7,16256558,5.6,7069381,4.4
828,1978444,8.9,1573655,11.3,404790,3.3
829,60160546,3.3,53991520,3.4,6169026,3.9
830,434748,26.3,312602,38.8,122146,12.4
831,1832763,13.3,1557813,15.4,274950,10.4
832,635156474,0.8,575266041,0.9,59890433,1.3
833,1310082321,0.3,1307087581,0.3,2994741,4.3
834,283113,38.8,253520,45.1,29593,9.5
835,11015,34.5,S,S,5229,48.0
836,150987,12.0,84409,15.5,66578,20.6
837,74158,22.4,25906,41.4,48252,29.2
838,74140,14.6,57984,19.9,16157,12.0
839,S,S,S,S,S,S
840,36025,28.5,24465,42.2,11560,17.4
841,26053,34.9,S,S,10039,20.4
842,9972,30.4,8452,35.5,1520,17.3
843,0,0.0,0,0.0,0,0.0
844,S,S,S,S,S,S
845,S,S,S,S,S,S
846,S,S,S,S,S,S
847,207,45.1,S,S,S,S
848,248214,44.9,S,S,55597,4.7
849,58215,16.1,S,S,41148,5.5
850,S,S,S,S,S,S
851,8120,42.7,S,S,S,S
852,6628192,6.4,4605172,9.8,2023020,1.9
853,2623919,8.0,1044921,20.7,1578998,2.0
854,3696534,9.9,3271903,12.1,424631,9.7
855,307738,45.3,S,S,19391,32.2
856,118039489,2.3,98414798,2.7,19624691,2.6
857,40828830,3.5,27962785,4.6,12866045,2.9
858,67482471,2.7,61459479,2.9,6022992,3.8
859,9728188,6.2,8992534,7.0,735654,9.8
860,14270727,7.9,13589156,8.5,681571,21.8
861,979234,21.1,945084,22.8,S,S
862,7987939,14.2,7713931,15.6,274008,47.2
863,5303554,11.1,4930141,12.7,373414,16.5
864,502846258,0.8,463262088,0.8,39584171,1.6
865,89552512,2.0,72462000,2.7,17090513,1.3
866,368212473,1.1,348075771,1.2,20136703,3.0
867,45081272,3.0,42724317,3.4,2356955,7.1
868,635156474,0.8,575266041,0.9,59890433,1.3
869,1310082321,0.3,1307087581,0.3,2994741,4.3
870,1725400,5.8,957094,10.7,768307,3.0
871,464803,16.6,249214,30.4,215588,8.5
872,1204220,4.6,660698,7.4,543522,3.2
873,56378,28.5,47181,33.4,9197,20.1
874,404544,8.1,210116,15.8,194428,8.3
875,197626,16.0,119854,27.3,77772,10.4
876,202502,10.5,86450,20.5,116052,8.2
877,S,S,S,S,S,S
878,437391,28.6,265667,49.8,171724,6.6
879,70959,20.5,S,S,42210,16.5
880,342841,35.1,S,S,124071,7.1
881,23591,29.7,18149,43.5,5442,46.6
882,678678,10.4,361396,13.7,317282,11.2
883,248547,18.1,98142,27.6,150405,19.6
884,390648,7.6,231462,7.6,159187,11.3
885,39482,33.0,31792,40.3,7690,28.3
886,280728,18.6,125118,35.3,155609,17.0
887,89753,38.0,S,S,56320,11.7
888,187548,15.8,88301,22.8,99247,24.3
889,S,S,S,S,S,S
890,376412,11.4,218705,17.8,157708,7.7
891,131463,23.7,76311,41.1,55152,7.0
892,232200,12.5,130066,23.4,102134,11.3
893,S,S,S,S,S,S
894,1461418,8.8,795125,15.8,666293,4.2
895,438914,26.5,S,S,246290,8.0
896,1002945,8.3,596214,14.5,406730,4.3
897,19559,26.0,6286,42.0,13273,31.6
898,506853,12.3,282029,23.7,224824,16.1
899,535458,10.4,315323,16.9,220136,10.3
900,136299,13.1,53867,33.5,82432,6.5
901,382980,12.3,254801,18.2,128178,18.0
902,S,S,S,S,S,S
903,677244,25.7,517855,35.5,159389,6.7
904,137456,17.1,57236,29.3,80220,12.9
905,19401,32.7,6446,48.4,12954,46.4
906,90196,16.6,55859,18.9,34338,47.5
907,397256,14.9,219724,26.6,177532,15.5
908,386614,15.2,222458,27.4,164157,19.1
909,S,S,S,S,S,S
910,122,44.0,0,0.0,122,42.0
911,484063,34.5,405624,42.9,78439,7.0
912,55725,12.4,54995,13.3,730,41.4
913,109351,27.4,S,S,58470,13.1
914,63859,48.1,S,S,27763,23.9
915,42206,23.1,S,S,30224,12.7
916,3285,45.5,S,S,S,S
917,217813000,0.8,189410251,1.0,28402750,0.9
918,20382874,3.6,12447221,5.6,7935653,1.9
919,86695291,1.4,69260222,1.9,17435069,1.1
920,11871051,3.8,9296489,4.6,2574562,5.8
921,162956,11.2,72444,18.3,90512,7.6
922,42220,19.6,S,S,35789,11.7
923,119458,8.9,66013,14.8,53446,9.1
924,1277,32.4,0,0.0,1277,30.9
925,107667149,1.6,84741891,2.0,22925258,0.7
926,3600100,4.9,1668987,9.3,1931114,2.4
927,619608,14.9,407607,22.7,212000,7.3
928,2916167,11.3,1802963,19.7,1113204,5.1
929,278418,37.1,217701,47.7,60716,17.3
930,184870,10.2,89579,19.7,95291,10.2
931,118949215,1.5,91003931,2.0,27945284,0.9
932,118949215,1.5,91003931,2.0,27945284,0.9
933,98863785,0.7,98406319,0.7,457466,8.1
934,284617,36.2,217701,47.7,66916,15.0
935,S,S,S,S,S,S
936,143242,11.8,107531,16.4,35711,11.9
937,1413,32.2,S,S,1021,42.0
938,204372,49.6,S,S,43498,11.3
939,S,S,S,S,S,S
940,80592,20.4,54582,32.0,26009,16.6
941,1319,33.6,S,S,927,45.1
942,S,S,S,S,S,S
943,S,S,S,S,S,S
944,2218,17.9,0,0.0,2218,17.1
945,0,0.0,0,0.0,0,0.0
946,382,7.8,0,0.0,382,7.4
947,S,S,S,S,S,S
948,S,S,S,S,S,S
949,114550865,1.6,88625397,2.0,25925468,0.8
950,19172377,3.6,11845649,5.6,7326728,2.0
951,83997611,1.4,67764596,1.8,16233015,1.1
952,11380877,3.9,9015153,4.7,2365725,5.5
953,58244,13.6,47568,5.6,S,S
954,S,S,S,S,S,S
955,51028,5.2,47444,5.6,3584,23.1
956,S,S,S,S,S,S
957,98863785,0.7,98406319,0.7,457466,8.1
958,17437,18.2,8827,34.1,8610,7.7
959,7059,42.1,S,S,3737,5.2
960,10377,8.3,S,S,4874,11.3
961,0,0.0,0,0.0,0,0.0
962,1179020,8.6,657019,15.9,522001,5.8
963,336055,31.3,S,S,166505,7.5
964,816100,5.6,467527,7.3,348573,6.0
965,26865,28.6,19942,46.4,6923,39.9
966,11309399,4.4,6179538,8.0,5129860,1.7
967,3186807,8.6,1316647,14.8,1870160,5.5
968,7704040,5.0,4564896,8.9,3139144,1.8
969,418552,5.0,297995,5.8,120557,8.2
970,1053594,9.3,668288,15.3,385306,8.6
971,44325,21.5,28932,26.0,15393,40.6
972,178506,10.5,127477,16.3,51030,28.5
973,110887107,1.6,86459239,2.0,24427868,0.8
974,18426773,3.2,11728077,5.0,6698696,1.3
975,81324943,1.4,65934282,1.8,15390661,1.3
976,11135391,4.2,8796880,5.2,2338511,6.3
977,830763,11.0,511879,18.3,318883,9.5
978,106586223,1.5,84156105,2.0,22430117,0.7
979,17151742,3.4,11101641,5.4,6050101,1.3
980,78812744,1.3,64567849,1.7,14244895,1.4
981,10621737,4.5,8486615,5.5,2135122,6.2
982,3712544,4.9,1703511,9.5,2009033,2.2
983,1013215,10.8,242990,21.4,770225,7.5
984,2577568,3.7,1377656,8.4,1199912,3.6
985,121761,12.8,82865,17.1,38896,16.8
986,118949215,1.5,91003931,2.0,27945284,0.9
987,678528,13.0,428271,21.0,250257,6.4
988,144247,10.0,49536,17.4,94711,7.0
989,524153,17.5,373520,25.0,150633,10.2
990,10128,30.1,S,S,4913,12.9
991,98863785,0.7,98406319,0.7,457466,8.1
992,3891497,3.5,2096505,7.5,1794992,1.5
993,2961979,11.1,1817354,19.6,1144625,4.9
994,811516,11.9,356749,25.6,454768,8.1
995,2003840,15.4,1340969,24.8,662871,4.1
996,146623,15.7,119636,15.7,26986,28.0
997,1191096,9.6,595126,19.8,595970,4.0
998,2607484,4.0,1439767,7.6,1167716,2.2
999,92918,21.3,61612,28.9,31305,15.0
1000,2833344,5.0,1494891,9.3,1338453,2.1
1001,107578,13.5,33064,46.3,74514,4.5
1002,58798,25.7,S,S,38134,12.1
1003,45430,24.0,S,S,31039,24.8
1004,5837,21.0,0,0.0,5837,20.1
1005,992557,10.6,565847,19.7,426710,7.4
1006,316417771,0.6,236138721,0.8,80279049,0.7
1007,60246240,0.9,27207464,1.9,33038777,0.6
1008,168403456,0.7,128121893,1.1,40281563,0.7
1009,37267540,2.7,30630160,3.2,6637380,3.4
1010,265917236,0.7,185959517,1.0,79957719,0.6
1011,50500535,1.5,50179205,1.5,321330,14.0
1012,115474605,1.5,109428246,1.6,6046359,3.9
1013,22480536,1.8,20338613,2.3,2141923,4.2
1014,72019753,1.6,68867750,1.7,3152003,6.4
1015,20974316,8.2,20221883,8.8,752433,7.7
1016,3142229,10.1,3050005,10.6,92224,27.5
1017,S,S,S,S,S,S
1018,1653,4.9,0,0.0,1653,4.7
1019,57359,21.0,57253,21.8,S,S
1020,312,1.2,0,0.0,312,1.1
1021,S,S,S,S,S,S
1022,454191398,1.1,438454990,1.1,15736408,5.5
1023,64290891,2.4,59905950,2.1,4384941,15.3
1024,320138011,1.5,311410407,1.5,8727604,5.7
1025,69762497,2.3,67138634,2.5,2623863,7.1
1026,6983110,8.5,6624358,8.6,358752,20.3
1027,107366,33.7,100733,38.4,6633,38.4
1028,1935999,15.2,1856555,13.8,S,S
1029,4939745,8.2,4667069,9.1,272675,18.4
1030,364666822,1.2,353195456,1.2,11471366,6.8
1031,366487773,1.2,354842862,1.2,11644912,6.7
1032,8430631,1.2,7583243,1.8,847389,5.6
1033,944126,13.6,858721,16.3,85405,13.7
1034,75592568,2.7,72566612,2.9,3025956,4.5
1035,291861,21.7,270843,23.8,21018,10.7
1036,1471028,10.8,1364705,13.4,106323,35.1
1037,487124537,0.9,469248060,0.9,17876477,4.9
1038,389966508,1.1,376880279,1.1,13086229,6.2
1039,228716962,0.9,228334834,0.9,382128,23.3
1040,50150033,3.1,46576539,2.4,3573495,18.5
1041,282703316,1.2,275328303,1.3,7375014,5.8
1042,57113158,2.5,54975438,2.4,2137720,8.9
1043,8538058,1.5,7657143,2.1,880915,5.5
1044,1501964,4.6,1040923,6.6,461041,3.0
1045,5907204,2.7,5545320,3.4,361884,11.1
1046,1128891,5.3,1070901,6.2,57990,26.7
1047,1047810,11.0,933831,13.6,113979,13.9
1048,366557,13.1,302063,15.2,64494,17.6
1049,634329,18.8,592294,21.1,42036,17.5
1050,46924,31.7,39474,39.4,7449,7.9
1051,76003977,2.7,72950282,2.8,3053695,4.5
1052,15879927,2.5,15000754,2.8,879173,9.7
1053,45427017,2.9,43705483,3.1,1721534,5.4
1054,14697033,9.8,14244045,10.6,452988,9.7
1055,25230329,4.4,24538824,4.7,691505,7.0
1056,1845533,8.0,1777996,8.8,67537,15.3
1057,18259673,4.3,17814716,4.5,444956,12.6
1058,5125123,14.7,4946112,15.8,179011,14.2
1059,27138008,3.2,26262793,3.3,875215,7.3
1060,7643549,4.8,7367644,5.0,275905,16.4
1061,15288035,4.3,14790686,4.6,497349,8.5
1062,4206424,9.5,4104463,10.2,101961,15.5
1063,1107138,21.4,968816,24.4,138322,11.2
1064,292197,21.7,204700,30.7,87497,25.5
1065,570975,19.9,537849,22.8,33125,19.5
1066,S,S,S,S,S,S
1067,3238890,9.0,3116986,9.6,121904,41.3
1068,484153,35.1,452062,38.1,S,S
1069,2197688,7.7,2121178,8.3,76510,40.1
1070,557049,16.7,543746,18.3,S,S
1071,46441139,3.2,43416500,2.4,3024639,21.6
1072,266822380,1.4,260263417,1.5,6558963,6.0
1073,51403303,2.6,49515538,2.7,1887765,9.7
1074,487124537,0.9,469248060,0.9,17876477,4.9
1075,8545653,6.9,8185199,7.2,360454,10.7
1076,2907008,10.2,2768198,11.8,138810,24.2
1077,4228303,11.2,4048940,12.0,179363,15.7
1078,1410342,16.3,1368061,17.6,42281,29.5
1079,228716962,0.9,228334834,0.9,382128,23.3
1080,3146037,12.4,2898829,14.8,247208,14.6
1081,756771,11.8,662972,14.9,93798,22.1
1082,1380562,12.0,1264212,13.6,116351,26.2
1083,1008704,27.4,971645,30.2,37059,36.4
1084,7340617,7.2,6694661,8.5,645955,8.1
1085,2052452,14.0,1846128,17.2,206324,17.3
1086,3611016,7.7,3219100,8.9,391916,8.9
1087,1677149,25.0,1629433,26.5,47715,32.8
1088,28424294,3.3,26422672,2.9,2001621,10.4
1089,4675216,7.2,3890762,8.0,784454,6.0
1090,19528425,5.1,18490059,4.9,1038365,19.4
1091,4220653,9.2,4041851,10.1,178802,23.0
1092,715841499,0.9,697582894,0.8,18258605,4.7
1093,69029041,2.3,63855847,1.9,5173194,13.3
1094,350656,18.7,306563,22.4,44092,41.4
1095,123892,21.2,93053,17.6,S,S
1096,212719,30.1,200330,32.9,12389,15.2
1097,S,S,S,S,S,S
1098,20336505,4.5,18987412,4.2,1349093,14.7
1099,105717,39.4,S,S,33526,13.7
1100,102030,28.4,75110,35.6,26921,24.8
1101,354050,30.5,326418,30.4,S,S
1102,58482,38.7,35721,46.5,S,S
1103,7988277,3.8,7372565,4.3,615712,4.7
1104,19477751,4.2,18203283,3.8,1274468,15.4
1105,3158548,7.4,2696909,8.3,461639,7.4
1106,13643228,6.0,12968238,5.7,674990,29.5
1107,2675974,10.1,2538135,11.5,137839,22.5
1108,340778132,1.3,330987722,1.4,9790410,5.2
1109,77317364,2.1,74404490,2.4,2912873,6.4
1110,487124537,0.9,469248060,0.9,17876477,4.9
1111,228716962,0.9,228334834,0.9,382128,23.3
1112,141998,14.7,108409,19.8,S,S
1113,61025,29.9,34774,40.3,S,S
1114,80119,18.1,73635,20.6,6484,7.6
1115,854,35.4,0,0.0,854,33.7
1116,754263,12.4,641487,14.2,112776,15.2
1117,212284,29.7,152764,41.9,59520,29.7
1118,448176,22.4,396559,25.3,51618,19.1
1119,93803,5.2,92164,5.6,S,S
1120,2045571,13.0,1973617,14.3,71954,23.1
1121,146430,27.4,118997,35.7,27433,17.0
1122,1626400,13.8,1583521,15.1,42879,36.2
1123,272741,29.6,271098,30.5,S,S
1124,S,S,S,S,S,S
1125,346,16.9,0,0.0,346,16.1
1126,S,S,S,S,S,S
1127,S,S,S,S,S,S
1128,60531,27.1,59984,28.5,546,13.1
1129,26003,35.8,25654,37.8,349,20.9
1130,23307,10.3,23110,10.8,197,3.3
1131,S,S,S,S,S,S
1132,5758358,4.9,5230334,5.2,528025,7.0
1133,1146298,11.1,910435,13.5,235863,9.1
1134,3729396,6.6,3460517,7.1,268879,10.9
1135,882665,18.6,859382,18.8,S,S
1136,139275,34.8,128664,38.3,10611,17.4
1137,45944,45.9,S,S,5506,17.0
1138,S,S,S,S,S,S
1139,S,S,S,S,S,S
1140,4508845,9.5,4370397,10.0,138448,21.6
1141,62935,22.1,59136,27.2,S,S
1142,1111696,12.8,1087256,13.3,24440,28.4
1143,3334214,13.1,3224005,13.8,110208,24.0
1144,9467645,3.0,8745574,3.3,722071,6.6
1145,1670761,14.0,1382283,17.5,288478,7.2
1146,6194314,5.9,5856030,6.5,338284,4.9
1147,1602570,19.0,1507261,19.1,95309,39.9
1148,6153866,7.0,3348848,13.4,2805018,1.8
1149,667555,20.2,452764,31.2,214791,19.4
1150,1427803,6.6,495533,15.0,932270,6.1
1151,561990,6.8,108775,22.8,453215,3.8
1152,829575,10.2,354794,18.9,474781,10.6
1153,36237,40.4,31964,48.2,S,S
1154,2219063,4.7,1641679,6.0,577384,7.9
1155,543623,18.1,348569,30.3,195054,12.1
1156,1310512,8.4,969767,9.8,340745,11.2
1157,364928,27.6,323343,32.4,41585,32.3
1158,2237179,7.4,1333007,13.4,904172,7.2
1159,515171,10.5,210837,27.5,304334,7.6
1160,1465077,12.4,955883,18.9,509195,10.6
1161,256931,26.5,166287,31.9,90644,48.0
1162,4268410,5.4,2565261,5.5,1703150,10.6
1163,1424218,6.3,691335,15.3,732883,6.4
1164,2353888,9.8,1492301,5.7,861587,20.6
1165,490305,16.6,381626,21.1,108680,18.8
1166,767745,16.8,313168,29.8,454577,10.6
1167,337473,10.8,110847,23.3,226625,6.7
1168,311347,18.3,113884,27.9,197463,16.9
1169,S,S,S,S,S,S
1170,991407,8.1,623343,12.7,368064,9.2
1171,290102,12.0,104351,31.8,185751,14.0
1172,633289,10.0,465023,16.6,168265,15.7
1173,68016,23.5,53968,29.7,S,S
1174,5472547,3.7,4300649,5.1,1171898,5.9
1175,1551461,8.4,1006743,14.9,544718,8.3
1176,2749955,6.6,2284126,8.0,465829,7.7
1177,1171131,9.0,1009780,9.7,161351,20.9
1178,8205749,2.3,2787207,3.6,5418542,2.8
1179,3995202,2.7,1148791,5.7,2846410,2.7
1180,3179228,3.8,1070681,11.2,2108546,4.2
1181,1031319,15.2,567735,8.9,463585,24.8
1182,1225520,4.0,558473,12.4,667047,5.5
1183,449050,5.1,131255,19.6,317795,6.2
1184,633226,7.6,323715,12.0,309511,8.9
1185,143244,28.6,103503,37.8,39741,26.5
1186,457800,41.8,S,S,S,S
1187,93456,12.8,S,S,71997,6.8
1188,S,S,S,S,S,S
1189,S,S,S,S,S,S
1190,197621,34.9,S,S,72907,7.6
1191,45289,22.5,S,S,32933,6.6
1192,76082,11.2,36498,24.0,39583,11.6
1193,S,S,S,S,S,S
1194,26327,18.1,5954,44.2,20373,18.7
1195,12259,30.9,S,S,10240,30.1
1196,14069,21.9,S,S,10133,26.7
1197,0,0.0,0,0.0,0,0.0
1198,S,S,S,S,S,S
1199,7852,18.4,0,0.0,7852,17.5
1200,S,S,S,S,S,S
1201,S,S,S,S,S,S
1202,69360,15.0,11539,47.1,57820,12.9
1203,30292,15.7,S,S,22617,15.0
1204,38573,18.5,3864,47.0,34709,20.6
1205,S,S,S,S,S,S
1206,6454842,4.3,2408836,9.8,4046007,2.1
1207,2242817,2.8,445319,10.4,1797498,2.0
1208,3802073,6.6,1745065,10.9,2057008,4.5
1209,409953,13.2,218452,21.9,191501,13.3
